,author,content,dt,title
10,pop_cornz,"Iron Man is not like other superhero films we have come to know. Unlike, batman, superman and spider-man, Iron Man does not suffer from mental illnesses. He doesn't stalk his girlfriend, pine over his dead uncle, or wish his parents hadn't got shot when he was a kid. Iron Man, just wants to kill bad guys. Another flattering aspect of Iron Man, is his lack of an alter ego. We don't have to watch in panic as Iron Man quickly gets on his iron suit before someone sees him changing. Instead, he boasts ""I AM IRON MAN"". Another very enjoyable aspect of the Iron Man film, is the setting. Not in a fictional city where the crime rate needs to be high, but in Afghanistan where it actually is. Bottom Line, Iron Man kills people. Nuff said. When did Spiderman, Batman or Superman last kill someone? Pussies! Iron Man is not a pussy.",9 May 2008," A superhero who isn't a pussy is a refreshing change
"
11,J_Jammer,"JJ Rating: A+ Billionaire Tony Stark (Robert Downey Jr.) of Stark Enterprises visits Afghanistan to show off his new weapon. Upon being attacked by rebels he sees his weapons were in their hands. They kidnapped him and wanted him to make them a weapon, but instead he creates a suit that will evolve him into Iron Man.It's another billionaire hero. In this case one that is more deviant than the Bat and far wittier than the Spider. Iron Man is exactly that: he's a man's man. He sleeps around, he drinks and he is cockier than necessary and he doesn't even get paid millions to play a sport. Well he gets billions to create inventive weaponry for America.Iron Man was never my cup of tea. But when I heard that Robert Downey Jr. was going to play him I was sure that if there ever was a thing like cinematic perfection, that that was it. From that point on I was excited to see the film. What would I want more from this film? I can't really think of anything. It's not perfect but what movie is? It's just really good. I wanted to see the Black Widow somehow but that was not going to happen. I'm really pleased with the after credits scene. STAY AFTER THE CREDITS.What did I love about the film? Iron Man's suit. That suit was so freaking cool. I loved the way it looked, how it was put on, what it looked like in flight, how it sounded when it moved about, how it looked when it was damaged. It was just wow. I liked how Iron Man was just intelligent and figured out to do the practical thing without taking too much time to moralize everything. I like the wit of Tony Stark and how Robert Downey Jr. just perfectly fit the role as if he were born to play it.Terrence Howard mad a great Rohdey. As-a-matter-of-fact there were several scenes that just make a comic nerd giddy. Count them off, if you can. Jeff Bridges was intimidating and imposing as he needed to be to play Obadiah. Gwyneth Paltrow was Pepper Potts and had the charm and smile to pull it off. I liked the way she walked to. It might have had something to do with her shoes, but still it seemed so intentional for the character and it worked.The story progressed at an even pace and allowed for the development of the entire story within the allotted time. Jon Favreau (who also played the driver who, in the comics, becomes Pepper's love interest) did an iron clad job of directing. He knew what he wanted and executed it and it came out beautifully.The C.G.I. work was eye candy for the super soul. That Iron Man get up was just marvelous. The battles between Iron Man and anyone else was done well. There was not too much and there was not too little. Just like baby bear's porridge. The C.G.I. even helped with some humor moments that were littered throughout the film either by visual gags or witty lines; humor was not missing from the banter heighten Stark.Iron Man, the superhero, is a fine balance of cocky, womanizing, billionaire war mongrel with a touch of heroics all rolled into one likable man. It is simply a work of art. Normally such a person is the villain and not well liked, but not only is he liked in the comic books he's liked in the movie and that is thanks to Robert Downey Jr's portrayal.I was impressed. This is the first movie that Marvel has financed themselves and let's just sayit works magical wonders for them to have more power.There is no question that I will get Iron Man when it comes out on DVD. There is also no question that this will be the number one movie of the weekend and I even guessed that it would make a little over the amount of money it cost to make it. So I'm going to guess about $165 million dollars. Though because of Grand Theft Auto 4 it might be lower, a lot lower or so the nay sayers would scream. Iron Man is the nity-gritty hero, the one that is all bare on who he is and what he wants; he is Marvel's Stark Superhero and Iron Man is the start of a beautiful movie franchise.",3 May 2008," ""Iron Man"" the Stark Superhero of Marvel
"
12,Allan Trainer,"Had I been the producer of this film I would never have cast Downie in the role of Tony Stark, and what a mistake that would have been. Robert Downie Jr gave an amazing depiction of Stark that was totally true to the character as envisioned by his creator and along with Jeff Bridges and Gweneth Paltro to name a few the cast did a brilliant job of bringing the Iron Man story to life. The story line was well thought out and flowed like a mountain stream, the balance between action and humour was as close to perfect as could ever be wished for, the entire film was engaging from start to finish even the music couldn't be faulted and as for the props, I really want an Audi R8 of my own now. This was one film that left the viewer begging for more and the last line (pre credits that is) no-one could fault that one. Brilliant work, lets hope the sequel is as good but the bar has been set pretty high by this first outing. The Commander",1 February 2009," Brilliant
"
13,SubZeroMK,"I was hyped for the movie when it was on the internet as news. I wasn't the biggest fan of Iron-Man at the time, but I always liked Robert Downey Jr., because he's a phenomenal actor. Not only that, but having Jon Favreau on board made me want to watch this film even more. He's a great comedic actor, and would seem like a cool buddy to hang out with.So I went in there with high expectations and I came out very satisfied at what I just had seen. I couldn't think of anyone else who could play Iron-Man better than Robert Downey. Thanks to this film, I put Iron-Man at the second spot in my favorite super-hero list. Blade comes first.Of course I bought the blu-ray version of the movie, watched all the special features and it was great. The action was great, it was planned out where it was needed. Jeff Bridges also did a great job on his character, acting as a mentor and then as Iron-Man's enemy. He didn't like to put up with the selfish rich guy, I get it, no one likes that.Overall, a 10/10 for creativity. Now, I'm anxious for the sequel, and you know what they say about sequels, they're always the best ones in the series.",31 May 2009," Iron-Badass
"
14,lopcar1993,"Iron-Man, one of the greatest superheros that has ever graced the comic book scene has finally mad it to the big screen in ones of the best and most successful comic book adaptions ever made, Iron-Man proves to the world that he's a hero that's built and not born.Iron-Man stars Robert Downey, Jr. as Tony Stark an ultra rich, genius weapons designer who has everything he wants and nothing at all, while Tony is demonstrating a new weapons of his he is captured by a group of terrorist who want him to build the very same weapon, now Tony has to use all his wits and genius to get out alive and his escape comes in a very familiar way, a high tech suit of armor made by him and his captive friend and assistant Yin sin.After Tony returns to civilization he decides not to make weapons anymore and uses his new found suit of armor to protect the innocent from the terrors of the world.Iron-Man is a high tech, high flying sci-fi action comedy that won't let you down until the movies over, Jon Favreau brings his own style to an old friend and turns Iron-Man into a truly jolting and explosive experience that you just can't miss. This film succeed beyond everyone's expectations, no one thought that Robert Downey, Jr. could carry this movie, much less alone portray a hero that's been in our consciousness for over 40 years. But amazingly he pulls off an outstanding performance that's sure to make you accept him as Iron-Man for years to come, this movie is exciting, daring, funny & witty and is a perfect treat for comic book fans alike. Iron-Man is still and will always be one of the best hero's out there hands down.",31 March 2009," One of the best comic book adaptions around!!
"
15,Ed Ellks,"This is one movie I enjoy watching multiple times. Personally, I think it's the best of the three, and marginally better than The Avengers. It has a really strong sense of cohesion and grittiness throughout the movie which really draws the viewer in. They really do a good job of making you love and hate Tony Stark, all at the same time. The special effects are awesome, especially on Blu-Ray.Iron Man 2 was pretty good, 3 was rubbish (in my opinion.) Before you watch this, make sure you have your snacks and drinks ready because you won't want to get up and leave during any piece of this movie.",12 June 2014," One of the best action movies ever made
"
16,alindsay-al,"It's quite funny that were almost near the end of phase 2 in the marvel cinematic universe but iron man the first film is still the very best solo marvel film. The premise sees a billionaire weapons merchant who is on the verge of death and kidnapped by terrorists until he creates a suit to escape. When he gets home he changes his philosophy and decides to become the superhero iron man. Robert Downey jnr was saved by this performance and it really has changed his career for the better. His dialogue is funny and witty and the smart thing the film did was as he changed you still loved him because of his whit and I love his character. The supporting cast is also fantastic especially the relationship between Downey and Gwyneth paltrow who plays pepper Potts. I have thought that this is the best romance in a comic book film franchise ever and their chemistry in this film is great and a big part of the film. There has been allot of controversy over Terrence Howard's involvement as James Rhodes but he is great in the role and his relationship with Tony is a big part about the mortality of the film. Jeff bridges plays obediah stane and he does well in his villainous role and his chemistry is really good with Tony. The story is really good as it shows a man change and decide to do what is right. Also even though this film is called iron man I believe that it is clear that this film is about the man and not the suit. The only negative I have ever heard about this film is that the film slows down when we get the cave scenes. However, I believe that these are great and they are real character building scenes for the lead. The script is really good especially with downeys dialogue feeling natural and is just hilarious. Everybody has great pieces of dialogue that really works for this film. The style is great with the look and the designs for the suit looking great. Also the action scenes are really smooth and slick which allows you to see it all. Overall it is fantastic and a great film to start the mcu.",23 May 2014," a masterpiece to truly kick off the marvel cinematic universe
"
17,scooter12589,"""Great, all that's on is Iron Man."" I said to my friend. We had missed the show time for the movie I had wanted to see. Upon first seeing a trailer for Iron Man I had low expectations. Just another poorly made comic book adaptation. It will be full of poor acting, crappy computer effects, and lots of action to overcome the lack of writing. Boy, I was wrong. Iron Man completely blew my expectations out of the water. Through the impeccable choice of characters, well placed action, and great mix of CGI: this summer's greatest action movie Iron Man is sure to please.Robert Downey Jr. is a hell of an actor. If not for him I am not sure I would have made it through Iron Man. It is rare that you find an actor that fits a role so well you forget he is an actor and think of him almost exclusively as the character. That is exactly what Downey brings to this movie. ""Is it better to be feared or respected? And I'd say is it too much to ask for both?"" and ""They say the best weapon is one you never have to fire. I prefer the weapon you only need to fire once. That's how dad did it, that's how America does it, and it's worked out pretty well so far."" These lines are delivered so genuinely and uniquely by Downey, you can't help but develop a relationship with his character Tony Stark that last throughout the movie.Often times when a screenplay writer can't write a good plot and can't write convincing dialog, they add copious amounts of action. Somehow, they have conceived the notion that if we are overwhelmed with action we won't notice how bad the movie is. However the audience is becoming smarter and no longer easily duped by such tactics. Iron Man did not resort to this. There is action in Iron Man, lots of action. But it is very well written and weaved perfectly into the story so as to enhance it. Iron man starts out with an attention grabbing fight scene. This is followed by many minutes without a giant fire fight where we get to know our protagonist; we bond with him and empathize with him. From then on the action and fight scenes are used sparingly till we arrive at the final fight scene between the protagonist and the antagonist.Several great advances have come to the movie industry from computer technology. One of these is computer generated imagery (CGI). CGI has allowed directors and writers to add elements to movies that were once though to be impossible, either due to price or far fetched ness. One complaint audiences usually voice is that is it too unrealistic. Not the case with Iron Man. The limited CGI use complements the movie well. Iit allows the viewer to vividly see exactly what the director and writers wanted you to see. All of this was accomplished without being annoying and causing the audience to be distracted by the effects.It is rare that a really good action movie based on a comic book comes along. Iron Man is one of those movies. Ann Hornaday of the Washington Post writes that it is full of generic fireballs and that some of the actors need to be cleaned up to make it as a sequel. I disagree. This summer's greatest action movie Iron Man is sure to please through the impeccable choice of characters, well placed action, and great mix of CGI. On a scale of five stars, I would give Iron Man five stars. I enjoyed this action movie so much I might have even paid for it!",5 May 2008," Downey Delivers
"
18,RikerDonegal,"After Superman, I believed that a man could fly. Now I believe that a man can redeem himself, no matter how badly he's fraked up in the past.And I could not be happier that they choose Robert Downey Jr. to carry this message. It works because it's his story, and it shows that he knows this. His heart is in every frame of this movie, his heart is in every word he utters, and your heart will be in the movie, too.It's a cool movie, with lots of things blowing up and stuff like that. But, it's a well-told human story first and foremost. If the X-Men movies strike a chord, it's because each one of us have known the pains of isolation and exclusion. If the Spider-Man movies strike a chord, it's because we all know the little fears and frustrations that drive our daily lives. And Iron Man? Iron Man is aimed at those of us who have made mistakes in the past and want to redeem ourselves.And, it strikes a chord. Believe me, it strikes a chord. A+ http://yetanotherfilmreviewblog.blogspot.com/",1 May 2008," Superb!
"
19,Eric Idol,"Caught a sneak of this movie last night. Downey Jr is perfect as Tony Stark. PERFECT. I know that Vince Vaughn could have played Stark too, but casting Downey was a gamble that really paid off. He is hysterical! Gwenneth Paltrow actually smiles and is HOT. Special effects are amazing and not overdone. Great script too! The movie doesn't have a slow moment. ""The Dude"" is so opposite of The Dude. Dare I say it...I think it is better than Transformers.You do not have to know anything about the comic book to thoroughly enjoy this film. The only complaint I have is the blatant product placement from Burger King and Audi. Ask yourself this: If Audi's are such great cars, why are there no old ones still on the roads?",29 April 2008," Ironman and The Dude
"
20,psycho_mantis,"It had to happen some day... We all knew the comics where to small for the likes of spider-man, wolverine and batman... they would go to the big screen... some day... DC did it first with their superman and batman movies...marvel was falling behind in the race before they even stepped on the throttle... But then something happened...I wasn't very old when the first x-men movie hit theaters but I remember seeing it and thinking: ""Yes! they're back!"" A lot happened since then. For my part, the x-men trilogy (yes, the third included) carried marvels ambitions for the big screen. I know many people loved the spider-man movies. I absolutely hated them. The hulk was a BIG disappointment, I almost vomited out of sheer anger when I saw the fantastic four and I won't even mention the daredevil movie. I am one of the traitors who thinks batman begins is the best superhero movie ever made...at least until now...Iron man blew me away! it's as simple as that. Everything, and I mean everything, in this movie runs as smooth as a well-greased machine. The cast is nothing short of perfect and Robert Downey Jr. shines as the eccentric playboy turned superhero Tony Stark, Jeff Bridges is a brilliant villain and Gwyneth Paltrow gives just the right amount of female touch to the movie and the chemistry between her and Downey Jr. is amazing.The movie is perfectly balanced between fast-paced, explosive action and well-timed humor. The CG is amazing as it was the first time I was able to see a movie with sports cars of that caliber and think: ""F*ck the cars, give me the suit!"" The movie also functions well for the person who isn't as big a comic geek as yours truly. All comic book adaptations requires a bit of faith and suspension of disbelief as, let's face it, people with anger management issues don't turn big, green and very strong in the real world nor does people who are bitten by spiders get their abilities. But this looks like it could actually happen in a not so far away future.It isn't just a movie about a comic-book superhero beating the crap out of the bad boys. It is also about taking responsibility and having the courage and will to make changes even though it isn't always the easiest way to go. Do yourself a favor and see this movie, It will give you a good laugh and get your pulse pumping.This movie takes Marvel back in the race and with the new Hulk movie coming soon and the likes of Thor and Captain America following not far behind it looks like they're closing the distance.",1 May 2008," It doesn't get better than this people!
"
